iter	Passed	Remaining
0	0	69
1	1	64
2	1	61
3	2	56
4	2	55
5	3	56
6	4	58
7	5	57
8	5	57
9	6	56
10	6	54
11	7	54
12	7	53
13	9	56
14	10	57
15	10	57
16	11	58
17	12	57
18	13	57
19	14	57
20	15	57
21	16	56
22	16	56
23	17	55
24	18	54
25	19	54
26	19	53
27	20	53
28	21	52
29	22	51
30	22	51
31	23	50
32	24	49
33	25	48
34	26	49
35	27	48
36	28	47
37	28	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	34	41
45	34	40
46	35	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	49	26
65	50	25
66	51	25
67	51	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	13
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	74	2
97	75	1
98	76	0
99	77	0
